0x05000030 : UK2x12 (v1.20), ./G1X FOUR/unzipped/UK2X12.ZD2
0x05000040 : MK1 1x12 (v1.20), ./G1X FOUR/unzipped/MK1_1X12.ZD2
0x05000042 : MK3 1x12 (v1.20), ./G1X FOUR/unzipped/MK3_1X12.ZD2
0x05000050 : BGN4x12 (v1.20), ./G1X FOUR/unzipped/BGN4X12.ZD2
0x05000060 : HW4x12 (v1.20), ./G1X FOUR/unzipped/HW4X12.ZD2
0x05000070 : RCT4x12 (v1.20), ./G1X FOUR/unzipped/RCT4X12.ZD2
0x05000080 : ORG4x12 (v1.20), ./G1X FOUR/unzipped/ORG_4X12.ZD2
0x05000090 : DZ4x12F (v1.20), ./G1X FOUR/unzipped/DZ4X12F.ZD2
0x050000a0 : MA2x12 (v1.20), ./G1X FOUR/unzipped/MA2X12.ZD2
0x06000010 : Tremolo (v1.40), ./G1X FOUR/unzipped/TREMOLO.ZD2
0x06000020 : Chorus (v1.40), ./G1X FOUR/unzipped/CHORUS.ZD2
0x06000030 : StereoCho (v1.30), ./G1X FOUR/unzipped/STEREOCH.ZD2
0x06000040 : Phaser (v1.40), ./G1X FOUR/unzipped/PHASER.ZD2
0x06000050 : VinFLNGR (v1.30), ./G1X FOUR/unzipped/VINFLNGR.ZD2
0x06000060 : TheVibe (v1.40), ./G1X FOUR/unzipped/THEVIBE.ZD2
0x06000070 : Vibrato (v1.30), ./G1X FOUR/unzipped/VIBRATO.ZD2
0x06000080 : Octave (v1.30), ./G1X FOUR/unzipped/OCTAVE.ZD2
0x06000090 : RingMod (v1.30), ./G1X FOUR/unzipped/RINGMOD.ZD2
0x060000a0 : Detune (v1.30), ./G1X FOUR/unzipped/DETUNE.ZD2
0x060000b0 : PitchSHFT (v1.40), ./G1X FOUR/unzipped/PITCHSHF.ZD2
0x060000c0 : MonoPitch (v1.30), ./G1X FOUR/unzipped/MONOPITC.ZD2
0x060000d0 : HPS (v1.40), ./G1X FOUR/unzipped/HPS.ZD2
0x060000f0 : Slicer (v1.30), ./G1X FOUR/unzipped/SLICER.ZD2
0x06000100 : CloneCho (v1.30), ./G1X FOUR/unzipped/CLONECHO.ZD2
0x06000110 : SuperCho (v1.60), ./G1X FOUR/unzipped/SUPERCHO.ZD2
0x06000120 : StonePha (v1.40), ./G1X FOUR/unzipped/STONEPHA.ZD2
0x06000131 : CoronaTri (v1.10), ./G1X FOUR/unzipped/CRNTRI3S.ZD2
0x06000140 : BendCho (v1.30), ./G1X FOUR/unzipped/BENDCHO.ZD2
0x06000150 : AnalogCho (v1.30), ./G1X FOUR/unzipped/ANA234CH.ZD2
0x06000160 : WarpPhase (v1.30), ./G1X FOUR/unzipped/WRPPHASE.ZD2
0x06000171 : Duo Phase (v1.10), ./G1X FOUR/unzipped/DUOPHA1U.ZD2
0x07000010 : Bomber (v1.40), ./G1X FOUR/unzipped/BOMBER.ZD2
0x07000020 : AutoPan (v1.30), ./G1X FOUR/unzipped/AUTOPAN.ZD2
0x07000041 : LoopRoll (v1.10), ./G1X FOUR/unzipped/LPROLL3S.ZD2
0x07000050 : HotSpice (v1.20), ./G1X FOUR/unzipped/HOTSPICE.ZD2
0x08000011 : Delay (v1.10), ./G1X FOUR/unzipped/DELAY_3S.ZD2
0x08000021 : AnalogDly (v1.10), ./G1X FOUR/unzipped/ANDLY_3S.ZD2
0x08000030 : TapeEcho (v1.40), ./G1X FOUR/unzipped/TAPEECHO.ZD2
0x08000041 : ReverseDL (v1.10), ./G1X FOUR/unzipped/RVRSDL3S.ZD2
0x08000050 : ModDelay (v1.30), ./G1X FOUR/unzipped/MODDELAY.ZD2
0x08000081 : P-P Delay (v1.10), ./G1X FOUR/unzipped/PPDLY_3S.ZD2
0x08000090 : FilterDly (v1.30), ./G1X FOUR/unzipped/FLTRDLY.ZD2
0x080000a1 : Dual DLY (v1.10), ./G1X FOUR/unzipped/DUALDL3S.ZD2
0x080000b1 : Pitch DLY (v1.10), ./G1X FOUR/unzipped/PTCHDL3S.ZD2
0x080000c1 : SlapBackD (v1.10), ./G1X FOUR/unzipped/SLPBKD3S.ZD2
0x080000d1 : A-Pan DLY (v1.10), ./G1X FOUR/unzipped/APANDL3S.ZD2
0x080000e1 : PhaseDly (v1.10), ./G1X FOUR/unzipped/PHASDL1U.ZD2
0x080000f1 : TapeEcho3 (v1.10), ./G1X FOUR/unzipped/TPEC3_3S.ZD2
0x08000101 : ICE Delay (v1.10), ./G1X FOUR/unzipped/ICEDLY3S.ZD2
0x08000111 : SlwAtkDly (v1.10), ./G1X FOUR/unzipped/SLATDL3S.ZD2
0x08000121 : SoftEcho (v1.10), ./G1X FOUR/unzipped/SOFTEC3S.ZD2
0x09000010 : Air (v1.40), ./G1X FOUR/unzipped/AIR.ZD2
0x09000020 : Room (v1.40), ./G1X FOUR/unzipped/ROOM.ZD2
0x09000030 : Hall (v1.40), ./G1X FOUR/unzipped/HALL.ZD2
0x09000040 : HD Hall (v1.40), ./G1X FOUR/unzipped/HD_HALL.ZD2
0x09000050 : Spring (v1.40), ./G1X FOUR/unzipped/SPRING.ZD2
0x09000060 : FD Spring (v1.30), ./G1X FOUR/unzipped/FDSPRING.ZD2
0x09000070 : Plate (v1.40), ./G1X FOUR/unzipped/PLATEREV.ZD2
0x09000080 : EarlyRef (v1.30), ./G1X FOUR/unzipped/EARLYREF.ZD2
0x090000a0 : Church (v1.30), ./G1X FOUR/unzipped/CHURCH.ZD2
0x090000d0 : Chamber (v1.30), ./G1X FOUR/unzipped/CHAMBER.ZD2
0x090000e0 : GateRev (v1.30), ./G1X FOUR/unzipped/GATE_REV.ZD2
0x0b000010 : PDL Vol (v1.40), ./G1X FOUR/unzipped/PDL_VOL.ZD2
0x0b000020 : BlackWah (v1.40), ./G1X FOUR/unzipped/BLCK_WAH.ZD2
0x0b000030 : ChromeWah (v1.40), ./G1X FOUR/unzipped/CHRM_WAH.ZD2
0x0b000040 : WAH100 (v1.40), ./G1X FOUR/unzipped/WH100.ZD2
0x0b000050 : PDL Pitch (v1.30), ./G1X FOUR/unzipped/PDL_PIT.ZD2
0x0b000060 : PDL MnPit (v1.30), ./G1X FOUR/unzipped/PDL_MNPT.ZD2
0x0b000070 : PDL Vibe (v1.30), ./G1X FOUR/unzipped/PDL_VIBE.ZD2
0x0b000080 : PDL Drive (v1.30), ./G1X FOUR/unzipped/PDL_DRV.ZD2
0x0b000090 : PDL PHSR (v1.30), ./G1X FOUR/unzipped/PDL_PHA.ZD2
0x0b0000a1 : PDL Delay (v1.10), ./G1X FOUR/unzipped/PDLDLY3S.ZD2
0x0b0000b0 : PDL Rev (v1.30), ./G1X FOUR/unzipped/PDL_REV.ZD2
0x0b0000c1 : OSC Echo (v1.10), ./G1X FOUR/unzipped/OSCECH3S.ZD2
0x0b0000d0 : VoiceWah (v1.30), ./G1X FOUR/unzipped/VOICE_WH.ZD2
0x0b0000e1 : PDL Roto (v1.10), ./G1X FOUR/unzipped/PDLROT3S.ZD2
0x0b0000f0 : P-BitCRSH (v1.30), ./G1X FOUR/unzipped/PDL_BITC.ZD2
0x0b000100 : PDL FLNGR (v1.30), ./G1X FOUR/unzipped/PDL_FLNG.ZD2
0x0b800020 : PDL Reso (v1.50), ./G1X FOUR/unzipped/PDL_RESO.ZD2
0x0bfffff0 : Output VP (v1.20), ./G1X FOUR/unzipped/OUT_VP.ZD2
