0x06800040 : BaVinFLNG (v1.30), ./B1 FOUR/unzipped/B_VFLNG.ZD2
0x06800050 : Ba Octave (v1.30), ./B1 FOUR/unzipped/B_OCTAVE.ZD2
0x06800060 : Ba Detune (v1.30), ./B1 FOUR/unzipped/B_DETUNE.ZD2
0x06800070 : BaMnPitch (v1.30), ./B1 FOUR/unzipped/B_PITCH.ZD2
0x06800080 : BassPhase (v1.30), ./B1 FOUR/unzipped/BASS_PHA.ZD2
0x07000010 : Bomber (v1.40), ./B1 FOUR/unzipped/BOMBER.ZD2
0x07000041 : LoopRoll (v1.10), ./B1 FOUR/unzipped/LPROLL3S.ZD2
0x07800010 : StdSyn (v1.30), ./B1 FOUR/unzipped/STDSYN.ZD2
0x07800020 : SynTlk (v1.30), ./B1 FOUR/unzipped/SYNTLK.ZD2
0x07800031 : Z-Syn (v1.10), ./B1 FOUR/unzipped/Z_SYN_1U.ZD2
0x07800040 : Defret (v1.30), ./B1 FOUR/unzipped/DEFRET.ZD2
0x07800050 : PH+Dist (v1.30), ./B1 FOUR/unzipped/PH_DIST.ZD2
0x08000011 : Delay (v1.10), ./B1 FOUR/unzipped/DELAY_3S.ZD2
0x08000021 : AnalogDly (v1.10), ./B1 FOUR/unzipped/ANDLY_3S.ZD2
0x08000030 : TapeEcho (v1.40), ./B1 FOUR/unzipped/TAPEECHO.ZD2
0x08000041 : ReverseDL (v1.10), ./B1 FOUR/unzipped/RVRSDL3S.ZD2
0x08000050 : ModDelay (v1.30), ./B1 FOUR/unzipped/MODDELAY.ZD2
0x080000a1 : Dual DLY (v1.10), ./B1 FOUR/unzipped/DUALDL3S.ZD2
0x09000010 : Air (v1.40), ./B1 FOUR/unzipped/AIR.ZD2
0x09000020 : Room (v1.40), ./B1 FOUR/unzipped/ROOM.ZD2
0x09000030 : Hall (v1.40), ./B1 FOUR/unzipped/HALL.ZD2
0x09000040 : HD Hall (v1.40), ./B1 FOUR/unzipped/HD_HALL.ZD2
0x09000050 : Spring (v1.40), ./B1 FOUR/unzipped/SPRING.ZD2
0x09000070 : Plate (v1.40), ./B1 FOUR/unzipped/PLATEREV.ZD2
